"category","icon_name"
"phone","phone-incoming-call"
"phone-off","phone-off-1"
"phone-off","phone-off-2"
"phone-scan-qr-code","phone-scan-qr-code-1"
"phone-scan-qr-code","phone-scan-qr-code-2"
"phone","phone-vibrate"
"photography","photography-equipment-film-print"
"photography","photography-focus-flower"
"photography","photography-light-mode-flash-on"
"photography","photography-picture-polaroid"
"photography","photography-retouch-wand"
"photography","photography-taking-pictures-circle-alternate"
"real-estate-building","real-estate-building-1"
"real-estate-building","real-estate-building-2"
"real-estate-building","real-estate-building-3"
"real-estate-building","real-estate-building-4"
"real-estate-building","real-estate-building-ad"
"real-estate-building","real-estate-building-factory"
"real-estate-building","real-estate-building-house"
"real-estate","real-estate-sign-building"
"romance","romance-heart-lock"
"romance","romance-love-letter-open"
"school-science","school-science-bag"
"school-science","school-science-dna"
"school-science","school-science-graduation-cap"
"school-science","school-science-test-flask"
"search","search-coding"
"search","search-user"
"shopping-shipping-bag","shopping-shipping-bag-1"
"shopping-shipping-bag","shopping-shipping-bag-2"
"shopping-shipping","shopping-shipping-barcode"
"shopping-shipping","shopping-shipping-basket"
"shopping-shipping","shopping-shipping-box"
"shopping-shipping","shopping-shipping-cart"
"shopping-shipping-crack","shopping-shipping-crack-1"
"shopping-shipping-crack","shopping-shipping-crack-2"
"shopping-shipping-delivery","shopping-shipping-delivery-person-motorcycle"
"shopping-shipping-delivery","shopping-shipping-delivery-truck"
"shopping-shipping","shopping-shipping-discount-coupon"
"shopping-shipping","shopping-shipping-loading-box"
"shopping-shipping","shopping-shipping-products-gift"
"shopping-shipping","shopping-shipping-receipt-slip"
"shopping-shipping","shopping-shipping-shipment-deliver"
"shopping-shipping","shopping-shipping-shop"
"shopping-shipping","shopping-shipping-upload-information"
"shopping-shipping","shopping-shipping-warehouse-truck-delivery"
"shopping-shipping","shopping-shipping-weight-kg"
"single","single-user-shield"
"social-rewards-certified","social-rewards-certified-diploma"
"social-rewards-certified","social-rewards-certified-ribbon"
"social-rewards","social-rewards-flag"
"social-rewards","social-rewards-heart-like-circle"
"social-rewards-like","social-rewards-like-bubble"
"social-rewards-like","social-rewards-like-circle"
"social-rewards-rating-star","social-rewards-rating-star-1"
"social-rewards-rating-star","social-rewards-rating-star-2"
"social-rewards","social-rewards-vip-crown-king"
"technology-drone","technology-drone-camera"
"technology-drone","technology-drone-signal"
